Student_ID,Department,Attendance_in_percent,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade
S2029,Engineering,66.74,81.6,54.19,86.28,92.48,6.19,83.35,75.13,F
S2030,Business,78.28,46.44,49.6,50.55,92.05,2.74,86.43,86.76,A
S2031,Engineering,89.12,42.88,94.44,90.89,95.96,7.59,56.12,58.86,B
S2032,CS,51.15,87.09,50.83,86.94,53.38,6.62,77.49,84.57,F
S2033,Engineering,98.47,63.08,42.43,57.04,79.19,8.39,99.35,77.32,A
S2034,Engineering,90.49,46.43,75.26,67.38,73.42,7.69,66.31,67.89,B
S2035,Business,87.56,85.76,60.77,81.93,74.53,6.39,65.09,83.22,A
S2036,Mathematics,88.02,90.95,64.34,74.79,73,1.61,95.17,59.6,A
S2037,Engineering,69.45,75.24,47.14,55.75,91.87,9.19,55.87,72.85,B
S2038,Business,87.58,49.67,84.89,54.37,65.92,3.67,96.68,77.47,A
S2039,CS,69.34,40.91,76.09,89.07,73.14,9.64,88.97,72.93,D
S2040,Business,,82.05,61.85,57.8,60.03,4.02,69.54,69.88,D
S2041,CS,,73.01,50.29,58.6,62.59,1.46,54.18,87.05,D
S2042,CS,64.62,79.05,75.61,91.55,83.02,8.85,50.96,82.81,C
S2043,CS,77.57,88.79,86.72,80.61,55.85,7.95,68.79,81.97,B
S2044,Engineering,65.96,66.05,58.74,80.24,59.39,7.86,85.27,94.59,B
S2045,CS,71.21,47.47,41.55,73.97,76.4,0.89,74.38,99.68,C
S2046,Mathematics,74.62,96.4,52.86,,52.19,8.79,86.93,78.36,B
S2047,CS,92.82,72.72,80.94,80.09,56.35,5.96,83.53,67.41,A
S2048,Mathematics,76.16,76.92,99.35,98.39,93.17,4.7,78.65,88.94,F
S2049,Business,68.12,96,40.8,61.15,92.31,9.13,98.37,57.1,B
S2050,CS,62.39,95.9,58.37,60.73,67.39,6.66,86.42,75.65,F
S2051,CS,70.43,74.33,43.72,52.86,67.4,1.33,95.73,76.23,D
S2052,Business,75.79,57.86,58.98,82.91,96.83,5.2,62.11,99.17,A
S2053,Engineering,87.31,99.83,64.35,77.45,51.29,6.37,85.68,99.55,A
S2054,Engineering,56.05,80.85,95.25,55.56,79.01,8.99,79.89,89.96,D
S2055,CS,61.08,64.51,44.83,68.23,79.87,2.8,96.21,73.65,D
S2056,Engineering,68.98,73.59,86.63,58.93,89.39,7.94,75.52,77.36,A
S2057,Mathematics,,64.95,63.73,66.57,97.59,8,63.98,65.99,A
S2058,CS,69.59,93.3,88.68,97.56,67.79,1.28,69.24,91.49,D
S2059,Engineering,89.68,68.95,70.8,84.17,71.89,0.17,60.94,87.33,A
S2060,CS,66.21,89.41,42.36,50.38,83.56,5.81,61,88.57,A
S2061,Business,75.09,90.41,96.77,62.63,98.36,7.89,73.52,56.93,A
S2062,Business,81.2,89.46,44.96,50.52,94.54,5.54,94.63,69.93,B
S2063,CS,61.61,83.33,75.86,85.74,83.35,8.13,59.59,76.87,F
S2064,CS,85.93,91.29,92.66,73.47,92.84,6.22,64.39,56.23,A
S2065,CS,77.36,63.23,44.79,99.7,54.26,6.53,92.65,68.43,A
S2066,Engineering,72.34,46.88,73.23,86.68,68.86,0.28,66.96,54.37,A
S2067,Engineering,,90.55,89.46,75.9,50.65,0.89,98.12,97.94,C
S2068,Mathematics,,69.89,99.18,,58.87,7.25,63.45,87.56,A
S2069,Engineering,94.16,47.64,83.46,85.24,81.52,7.63,72.11,81.04,A
S2070,CS,78.05,46.92,56.7,62.19,94.28,5.42,54.78,60.24,B
S2071,Business,80.46,49.55,81.97,76.51,81.64,5.9,99.61,66.71,C
S2072,Engineering,,85.06,82.35,77.8,83.21,6.14,94.51,57.22,F
S2073,Engineering,90.88,82.65,82,72.56,55.19,1.05,90.88,76.81,A
S2074,CS,80.08,52.23,91.26,58.96,83.24,6.68,57.87,91.03,C
S2075,CS,87.66,90.82,45.24,61.17,72.72,4.78,98.47,50.95,B
S2076,Mathematics,71.67,56.88,46.51,64.05,82.57,6.03,96.46,55.17,C
S2077,Engineering,77.37,87.58,78.44,,66.31,5.63,71.78,61.47,C
S2078,CS,53.1,69.33,97.23,95.85,79.07,7.63,84.08,85.7,F
S2079,Engineering,54.49,83.89,67.95,84.3,71.2,3.19,99.62,94.7,D
S2080,Mathematics,91.47,62.88,97.63,84.48,77.93,3.74,70.49,87.65,A
S2081,CS,52.98,60.83,96.29,78.62,57.35,3.92,55.65,76.25,C
S2082,Engineering,58.47,90.48,94.17,84.47,69.79,7.62,93.39,55.26,D
S2083,Mathematics,89.79,42.12,94.59,99.09,68.71,4.31,73.82,87.75,A
S2084,CS,50.06,98.48,93.9,69.26,86.82,1.77,99.35,55.28,F
S2085,Business,,78.89,89.19,85.63,85.32,9.83,77.54,67.38,D
S2086,Engineering,,65.95,81.7,67.98,95.44,4.93,51.47,65.4,D
S2087,Engineering,79.77,77.68,41.46,,81.6,1.09,74.59,67.96,C
S2088,CS,,47.36,47.94,92.9,65.73,6.7,85.9,66.48,D
S2089,CS,75.3,70.84,48.05,95.11,89.16,7.39,51.3,88.46,F
S2090,Engineering,75.47,99.11,41.41,50.27,74.85,5,70.67,58.59,D
S2091,CS,86.27,54.12,47,64.91,59.67,6.46,57.78,92.29,A
S2092,Engineering,74.93,83.34,95.18,56.7,87.37,1.73,82.15,92.91,C
S2093,CS,80.42,66.1,79.83,72.7,56.63,3.68,97.87,74.55,C
S2094,CS,94.89,79.15,58.72,74.77,58.91,1.62,81.23,55.31,A
S2095,Mathematics,70.07,52.29,87.6,62.8,87.94,3.87,84.74,78.77,A
S2096,Engineering,69.26,68.23,69.3,86.17,88.51,5.63,69.83,91.05,C
S2097,Mathematics,50.18,98.81,48.53,63.49,89.54,4.43,78.16,64.47,F
S2098,CS,80.67,51.72,93.07,92.69,64.67,5.93,77.19,91.89,B
S2099,Engineering,51.49,78.19,60.32,58.88,93.33,5.02,87.98,83.85,F
S2100,CS,75.21,74.54,81.93,,86.13,3.18,92.85,99.36,D
S2101,Business,90.21,73.9,57.44,81.11,91.7,1.43,83.14,91.24,A
S2102,Business,77.5,76.91,70,80.27,85.43,2.53,98.99,60.08,D
S2103,CS,63.48,70.13,88.98,53.9,78.98,2.01,91.41,72.45,F
S2104,Mathematics,89.31,41.02,49.41,92.31,55.47,7.07,56.23,55.18,A
S2105,CS,63.49,94.01,98.64,79.9,85.55,8.2,75.37,53.48,A
S2106,Engineering,86.65,89.62,44.21,93.49,84.52,7.2,95.16,85.3,B
S2107,Mathematics,80.51,50.45,72.04,93.38,65.62,6.44,97.2,95.65,F
S2108,Business,58.5,64.8,94.96,77.3,86.79,3.08,69.01,98.68,D
S2109,Mathematics,95.26,86.23,96.74,95.54,77.52,7.11,86.29,63.52,A
S2110,CS,60.03,98.8,53.93,92.42,77.97,6.05,70.53,60.09,C
S2111,CS,99.48,97.07,48.64,97.91,68.38,0.47,56.18,78.01,B
S2112,CS,50.37,93.96,83.46,92.52,55.84,9.08,94.23,60.04,D
S2113,Engineering,63.17,49.5,42.52,91.06,60.85,0.8,96.6,64.8,B
S2114,Business,59.99,94.87,69.11,73.47,88.44,5.03,75.24,91.86,C
S2115,CS,50.7,92.71,87.78,60.6,63.57,5.13,50.92,90.52,D
S2116,Engineering,86.62,62.62,73.62,95.54,50.11,8.37,90.8,94.75,B
S2117,CS,84.67,63.67,51.28,86.13,99.85,9.13,73.85,74.11,B
S2118,CS,89.62,67.59,69.22,64.09,60.53,9.4,53.75,78.2,A
S2119,Engineering,62.83,79.37,95.28,67.05,82.77,5.7,59.47,88.53,F
S2120,Engineering,,55.65,77.03,84.3,96.35,6.79,57.61,61.96,F
S2121,Business,,41.38,83.29,73.89,79.99,0.89,84.31,91.15,B
S2122,CS,71.99,48.47,60.18,54.07,89.95,4.88,64.97,50.88,C
S2123,Business,84.87,66.41,51.31,57.07,98.82,8.98,56.38,89.88,C
S2124,CS,81.7,56.92,55.34,,93.02,4.56,95.88,88.8,F
S2125,CS,55.73,85.87,71.99,66.43,77.9,0.7,97.83,65.09,C
S2126,Engineering,89.05,46.4,56.81,75.38,68.19,2.01,56.93,86.4,A
S2127,Business,,95.05,72.52,88.33,74.12,4.3,61.51,60.7,D
S2128,CS,82.79,93.72,82.47,87.56,92.09,2.38,79.61,78.81,D
S2129,CS,57.75,94.53,84.06,58.35,92.67,3.92,57.53,85.03,F
S2130,Engineering,63.4,84.38,49.88,54.92,92.29,3.33,57.93,85.73,D
S2131,CS,69.66,46.42,85.03,79.56,79.86,3.19,66.83,99.15,A
S2132,Business,64,66.29,80.36,87.08,73.85,0.91,97.46,59.1,A
S2133,Business,61.39,47.88,40.72,57.45,65.57,8.83,98.12,74.04,A
S2134,CS,90.27,99.26,43.53,68.6,50.17,6.93,92.09,94.01,A
S2135,Engineering,81.91,59.98,78.77,93.51,88.22,6.23,84.79,78.08,C
S2136,Business,78.27,75.12,63.02,97.21,63.85,6.06,86.03,93.82,A
S2137,CS,61.3,86.76,48.77,72.7,66.48,3.97,73.48,71.7,F
S2138,Engineering,95.9,95.24,42.66,53.98,92.17,8.23,76.51,89.77,A
S2139,CS,59.56,85.33,49.56,62.88,52.61,9.3,81.72,93.5,F
S2140,Engineering,89.75,80.47,97.45,61.65,96.38,0.06,86.56,92.32,A
S2141,CS,98.33,67.96,83.65,61.95,50.07,0.79,54.84,93.57,A
S2142,Business,86.35,76.32,71.66,74.69,96.96,6.75,61.24,60.98,A
S2143,CS,99.64,45.65,96.49,79.16,72.74,2.36,98.15,71.95,A
S2144,CS,82.55,93.04,77.15,56.13,55.11,9.12,66.76,58.73,D
S2145,Business,60.87,72.63,83.54,94.47,83.71,6.67,63.42,59.03,F
S2146,CS,60.19,42.41,56.96,81,94.79,3.68,71.1,74.39,D
S2147,CS,66.23,95.19,75.34,79.86,71.9,4.15,64.55,98,D
S2148,CS,50.36,69.36,48.61,99.36,84.57,6.91,54.56,79.6,F
S2149,CS,84.08,92.12,64.27,81.41,98.97,1.41,60.4,92.69,C
S2150,Mathematics,63.43,91.41,41.99,96.45,62.04,8.83,82.01,96.86,A
S2151,Business,90.76,88.95,53,64.31,91.02,0.05,61.16,54.33,A
S2152,CS,67.96,43.68,44.49,62.01,64.76,9.79,82.38,58.1,C
S2153,Business,74,54.82,63.27,75.83,71.32,1.68,55,64.54,F
S2154,Engineering,98.28,92.53,90.58,75.43,64.09,7.42,52.09,80.84,A
S2155,Mathematics,62.11,93.94,62.68,61.32,72.3,0.4,93.08,53.09,D
S2156,CS,86.06,67.48,89.9,84.98,50.25,4.31,88,89.33,A
S2157,Engineering,87.76,66.4,79.39,51.48,65.17,6.3,83.3,53.19,B
S2158,Engineering,61.05,50.51,70.57,84.53,72.26,0.7,51.54,57.92,D
S2159,Engineering,75.05,98.1,54.21,72.86,81.61,4.43,61.97,69.09,A
S2160,Engineering,67.51,52.79,95.33,,81.87,3.03,90.62,77.89,F
S2161,CS,88.6,51.46,43.25,73.85,79.19,4.98,57.23,94.08,B
S2162,Business,81.12,79.64,81.33,,64.65,5.05,90.64,98.19,B
S2163,Engineering,73.8,54.57,77.27,66.73,97.37,7.85,79.21,94.23,C
S2164,Mathematics,88.97,96.33,66.46,99.13,69.6,1.24,87.02,55.35,B
S2165,CS,61.76,40.65,54.42,53.25,60.84,0.83,82.23,81.56,D
S2166,Engineering,87.68,40.35,65.84,84.19,77.73,4.02,70.85,72.09,A
S2167,Mathematics,93.27,70.29,92.37,72.71,87.45,8.88,64.6,56.29,B
S2168,Engineering,93.93,69.28,90.21,91.11,50.61,8.55,83.64,77.76,B
S2169,Business,89.18,49.8,96.48,89.48,63.82,5.6,90.35,67.83,A
S2170,Business,70.4,69.67,58.47,90.01,91.25,8.89,52.24,67.29,C
S2171,CS,99.09,64.7,63.23,54.74,75.35,8.05,69,54.72,A
S2172,Engineering,,93.42,41.12,,70.42,2.78,67.54,98.94,B
S2173,CS,,40.56,96.58,60.7,96.55,1.7,77.97,86.3,F
S2174,Engineering,58.05,98.58,59.76,,54.48,3.01,55.7,64.02,C
S2175,CS,99.02,77.46,64.25,60.89,80.78,2.27,96.67,95.87,B
S2176,Business,,49.11,94.47,73.96,67.11,6.23,77.43,97.4,A
S2177,Engineering,87.67,42.81,71.6,87.11,53.54,5.85,96.19,90.52,A
S2178,Engineering,,72.29,73.97,60.93,60.69,5.98,90.85,82.97,F
S2179,CS,88.17,54.09,50.57,55.65,81.4,1.89,59.58,68.82,A
S2180,Mathematics,,58.07,69.92,,51.41,7.92,56.62,71.72,F
S2181,CS,83.59,54.71,95.09,99.19,79.61,4.34,93.06,72.75,B
S2182,CS,64.6,79.01,73.52,80.04,97.84,4.72,76.81,97.44,D
S2183,CS,,73.21,55.31,84.55,89.75,9.97,50.99,88.01,B
S2184,Mathematics,55.52,44.68,41.87,78.06,67.28,2.82,96.71,64.6,F
S2185,Mathematics,73.58,71.59,60.18,89.12,56.91,3.94,73.65,81.23,D
S2186,Engineering,,87.47,74.36,98.79,73.25,6.76,65.05,79.7,C
S2187,Business,67.45,44.87,42.56,77.21,69.65,8.8,75.83,90.61,B
S2188,CS,58.13,93.38,76.59,,98.59,1.27,91.15,54.77,C
S2189,Mathematics,61.5,74.7,71.4,93.02,99.49,7.35,55.51,85.06,C
S2190,CS,53.83,97.04,87.01,98.49,70.53,9.18,67.95,66.56,C
S2191,CS,96,48.89,41.73,56.46,57.44,4.23,65.94,56.48,B
S2192,CS,76.52,99.61,86.85,78.91,95.53,2.87,91.98,86.59,B
S2193,Engineering,69.84,78.66,71.25,,89.68,6.78,88.92,66.58,F
S2194,Business,,74.05,62.23,76.67,75.56,2.46,70.01,86.51,C
S2195,CS,81.41,70.92,97.92,70.46,68.27,3.84,83.22,58.12,F
S2196,Mathematics,,41.42,49.61,82.76,72.41,8.97,69.72,99.3,C
S2197,Engineering,58.93,96.38,72.48,63.51,95.09,5.9,78.57,90.17,F
S2198,CS,64.78,78.64,59.26,67.46,59.23,0.95,99.56,64.46,B
S2199,Engineering,98.79,45.5,71.65,99.61,90.34,3.3,76.78,87.03,A
S2200,Engineering,,41.26,73.14,81.82,50.91,6.27,99.43,56.79,B
S2201,Business,51.13,43.05,45.37,93.65,96.03,4.81,87.36,82.67,C
S2202,Engineering,57.38,76.56,79.67,90.39,75.01,6.6,56.04,52.98,D
S2203,Engineering,51.32,76.84,78.07,82.61,61.34,7.61,89.8,66.67,D
S2204,CS,99.5,69.98,86.17,92.04,50.14,4.81,58.06,98.92,B
S2205,Engineering,63.94,58.41,45.44,64.36,77.98,9.87,76.62,56.05,A
S2206,Mathematics,96.18,71.9,57.84,81.86,62.22,9.15,80.66,79.87,A
S2207,CS,99.79,70.98,79.01,79.53,81.56,0.6,94.61,53.53,B
S2208,Business,79.99,41.16,48.2,81.12,64.06,2.66,60.52,83.47,C
S2209,Engineering,51.66,56.95,80.66,58.43,54.4,3.01,93.8,63.93,F
S2210,CS,,43.19,43.54,63.86,75.25,1.84,96.72,65.5,C
S2211,Mathematics,74.08,94.01,60.1,64.33,78.22,3.12,54.47,66.89,D
S2212,Engineering,70.31,83.51,90.8,80.1,72.63,4.25,94.26,60.26,B
S2213,CS,80.31,99.77,86.46,98.63,72.9,0.52,62.96,97.08,D
S2214,CS,71.94,58.13,78.69,97.7,79.48,1.27,54.05,95.29,C
S2215,CS,,92.71,92.23,61.36,76.32,0.96,97.93,93.5,A
S2216,Business,76.74,76.18,82.56,65.24,56.63,0.46,69.61,55.32,D
S2217,Engineering,84.69,67.19,71.16,51.8,59.85,4.81,81.15,61.67,D
S2218,Mathematics,,53.35,98.78,69.94,57.09,3.34,77.64,80.61,C
S2219,CS,,84.3,81.69,91.73,84.66,9.35,60.66,98.52,C
S2220,CS,61.49,94.25,76.08,95.79,76.43,1.03,83.48,80.24,B
S2221,CS,55.37,54.12,64.53,61.82,71.49,9.26,52.31,66.36,F
S2222,Engineering,56.98,50.52,94.14,63.29,89.92,0.87,60.15,90.87,D
S2223,Mathematics,75.63,81.77,57.74,61.04,66.29,6.19,97.23,56.77,D
S2224,Engineering,66.06,98.62,40.55,67.51,78.41,2.48,97.68,94.09,F
S2225,CS,,85,51.8,90.24,53.72,8.27,74.13,98.73,B
S2226,Business,99.12,57.07,46.57,82.34,87.22,0.61,58.45,98.38,A
S2227,Business,57.84,65.2,59.14,89.3,84.76,9.53,71.08,57.38,C
S2228,CS,77.04,63.06,89.55,,90.12,0.47,93.85,77.48,F
S2229,Business,54.94,91.13,79.09,62.89,94.22,2.41,53.51,79.25,C
S2230,CS,65.92,86.28,50.14,61.4,87.9,4.64,56.39,59.75,F
S2231,CS,,75.34,87.33,50.45,92.22,7.56,94.78,77.34,A
S2232,CS,97.33,56.5,70.25,89.05,67.28,9.51,70.77,82.33,A
S2233,Engineering,69.56,96.28,70.76,92.36,67.17,4.28,54.17,66.45,F
S2234,Engineering,53.25,79.2,61.73,88.41,97.22,7.57,56.96,65.78,D
S2235,CS,69.41,98.23,91.88,53.72,95.73,7.27,94.12,53.01,C
S2236,CS,,74.81,59.1,88.11,77.42,5.71,74.51,97.84,C
S2237,Business,61.5,89.27,45.65,52.29,68.33,6.91,58.15,90.18,A
S2238,Mathematics,80.9,88.79,58.16,55.28,93.3,0.38,94.7,87.97,F
S2239,Business,53.37,60.24,82.92,72.02,66.17,4.42,92.26,51.09,D
S2240,CS,73.24,97.84,79.45,73.81,57.68,7.86,51.15,81.22,C
S2241,CS,80.47,41.32,51.28,90.81,81.97,4.74,79.05,59.03,B
S2242,CS,71.09,86.12,46.71,83.98,52.13,8.74,62.22,83.09,D
S2243,CS,50.96,97.93,79.65,,68.96,8.34,76.66,81.06,C
S2244,Engineering,,60.33,80.58,61.31,90.38,8.63,63.96,92.6,A
S2245,Engineering,68.36,78.89,61.97,64.28,64.76,1.3,65.79,62.77,C
S2246,Business,,73.73,90.57,56.18,96.57,2.44,80.09,51.37,D
S2247,Engineering,66.28,85.69,98.69,,97.79,0.3,76.94,95.71,F
S2248,CS,73.75,91.97,52.34,86.43,90.79,9.83,69.76,95.43,B
S2249,CS,69.42,76.18,74.62,62.07,99.38,2.36,55.38,72.79,C
S2250,Engineering,67.13,88.95,40.32,91.77,76.54,3.67,98.47,53.9,A
S2251,CS,51.09,58.74,82.78,73.48,78.46,2.75,58.73,74.9,F
S2252,CS,68,53.72,64.86,66.15,91.81,0.4,81.66,76.2,B
S2253,CS,94.47,65.84,51.6,70.62,74.64,2.61,54.14,91.09,A
S2254,CS,84.52,80.66,85.13,,70.34,0.98,84.42,85.86,A
S2255,CS,57.27,51.23,88.64,75.84,80.74,3.94,54.74,53.54,D
S2256,Business,79.56,80.82,46.67,50.36,82.88,9.67,61.48,85.27,C
S2257,Business,94.61,63.65,42.46,96.12,87.54,6.98,82.35,56.79,A
S2258,CS,85,87.73,60.04,53.3,83.41,7.07,64.15,54.47,F
S2259,CS,57.43,42.21,77.56,96.93,87.29,4.53,76.64,69.93,D
S2260,Business,,80.08,87.61,,83.73,8.11,56.23,53.87,C
S2261,CS,65.08,78.99,72.76,,74.02,9.08,60.12,91.46,F
S2262,CS,72.7,96.46,74.84,76.73,56.75,9.62,86.69,73.16,D
S2263,CS,76.31,82.8,87.99,75.29,89.27,0.99,51.76,79.35,C
S2264,CS,,87.78,71.73,53.64,51.54,8.8,55.59,78.84,C
S2265,Business,96.58,94.28,76.67,61.94,99.63,2.25,60.75,98.91,A
S2266,Business,96.48,80.5,70.97,88.88,91.42,3.97,51.01,95.79,B
S2267,CS,50.4,57.41,92.83,,83.55,3.45,54.77,92.46,D
S2268,CS,96.09,92.19,54.13,76.46,98.33,6.75,64.07,69.16,A
S2269,CS,52.72,84.85,55.84,67.67,80.62,5.98,54.65,57.25,F
S2270,CS,63.29,65.47,47.68,53,52.82,1.09,93.31,79.59,B
S2271,Mathematics,75.75,82.63,89.17,84.11,77.97,7.83,53.3,72.02,C
S2272,Engineering,74,92.06,64.71,63.92,63.86,4.4,93.05,61.28,F
S2273,Engineering,80.24,98.54,60.87,52.75,68.47,0.02,91.14,54.88,F
S2274,Business,73.97,97.14,98.88,83.29,72.98,4.15,55.04,71.8,A
S2275,Business,96.72,59.52,95.61,74.29,88.73,5.16,51.26,82.54,A
S2276,Business,62.03,65.3,98.32,,75.15,0.69,52.5,81.27,C
S2277,CS,63.7,46.57,48.54,55.55,73.73,1.51,79.52,88.7,D
S2278,CS,96.04,54.85,93.48,84.96,65.1,9.94,83.52,73.33,A
S2279,Engineering,,92.95,59.72,53.18,76.99,8.71,81.03,66.08,F
S2280,CS,80.48,61.65,40.76,93.3,62.42,1.33,77.07,76.94,D
S2281,Mathematics,84.09,77.23,63.48,65.57,63.05,5.8,58.73,98.75,A
S2282,Engineering,75.28,79.96,70.55,54.43,87.86,3.79,92.05,52.25,D
S2283,Mathematics,84.71,86.91,46.49,,67.13,5.44,66.38,76.43,F
S2284,CS,58.64,50.97,72.26,76.22,52.57,4.71,99.31,66.46,C
S2285,Business,92.63,58.29,89.17,65.33,67.18,0.48,69.24,55.27,A
S2286,CS,57,66.9,62.66,70.3,81.93,3.15,63.15,71.73,C
S2287,Mathematics,70.04,61.89,61.16,51.07,90.7,1.26,94.71,82.06,D
S2288,CS,53.76,98.97,60.33,,98.1,4.89,78.37,76.41,C
S2289,Engineering,77.26,90.1,95.39,68.29,87.31,9.07,86.09,51.46,B
S2290,Business,83.49,68.78,42.93,85.7,71.44,9.96,70.42,78.96,A
S2291,Engineering,97.06,92.76,66.7,81.41,64.96,9.44,94.35,61.6,B
S2292,Engineering,86.97,60.86,55.88,82.56,56.48,9.86,95.89,67.07,A
S2293,Mathematics,,87.15,93.63,89.64,81.38,0.15,71.84,65.61,D
S2294,Engineering,96.63,53.42,45.76,81.56,75.49,7.29,62.04,92.93,B
S2295,Engineering,,86.34,64.69,70.94,83.89,2.73,82.38,52.38,C
S2296,CS,78.06,67.39,64.41,69.5,61.86,8.66,97.73,67.4,B
S2297,Business,79.8,46.45,93.3,,66.18,8.14,81.12,69.74,B
S2298,Engineering,70.5,56.4,52.93,88.97,64.6,4.24,97.71,80.94,C
S2299,Engineering,91.92,64.14,78.69,88.06,89.88,4.73,67.19,89.45,A
S2300,CS,59.26,84.96,48.06,62.31,58.56,2.65,95.75,86.38,F
S2301,Engineering,77.74,44.38,97.24,93.13,80.42,2.89,55.63,87.63,C
S2302,CS,86.11,79.57,75.58,79.45,52.57,9.81,67.94,59.62,A
S2303,CS,95.2,82.96,77.58,73.93,77.48,8.89,74.72,95.59,A
S2304,Engineering,94.2,79.24,66.03,,53.2,1.92,82.66,70.71,A
S2305,CS,75.44,85.64,60.54,69.14,58.79,2.76,64.71,50.56,D
S2306,CS,,50.69,52.76,82.03,55.65,1.09,96.21,83.4,C
S2307,Engineering,69.71,75.23,76.24,54.49,67.34,9.89,95.17,80.2,C
S2308,CS,73.41,96.47,97.27,72.98,67.19,9.07,89.97,56.3,F
S2309,CS,95.31,76.65,61.59,99.67,91.32,5.52,55.72,97.99,B
S2310,CS,96.54,76.68,92.99,85.83,61.28,6.93,53.91,78.08,A
S2311,Engineering,94.77,84.19,48.93,77.34,54.32,7.48,74.91,73.46,A
S2312,Engineering,56.92,59.99,96.17,76.65,80.18,2.04,88.27,69.91,D
S2313,Business,,82.03,61.03,,84.37,9.35,56.16,60.49,F
S2314,CS,97.42,94.97,62.78,97.87,64.74,5.27,82.07,97.64,A
S2315,CS,68.06,40.65,67.77,96.41,80.14,0.92,76.39,85.11,B
S2316,CS,75.93,92.21,83.09,84.12,88.8,3.97,86.3,78.38,C
S2317,Engineering,88.95,53.12,83.18,54.95,67.38,6.02,71.77,81.56,A
S2318,Mathematics,78.1,67.36,68.78,60.39,76.27,3.53,84.66,92.02,F
S2319,CS,99.67,91.14,71.39,59.2,57.33,6.99,57.98,81.79,A
S2320,CS,72.79,89.43,41.8,75.98,51.18,8.82,60.73,55.73,C
S2321,CS,85.7,93.52,58.26,60.39,99.07,7.72,95.17,84.86,A
S2322,Engineering,89.63,96.43,60.76,,64.99,6.43,66.47,78.24,A
S2323,Engineering,74.71,66.83,73.52,77.26,63.95,5.12,99.28,98.32,D
S2324,Engineering,92.85,79.38,73.5,50.88,98.66,2.54,52.31,86.69,B
S2325,Business,77.31,63.43,82.59,87.2,86.41,4.55,74.79,67.2,B
S2326,Engineering,70.58,61.04,83.02,59.44,79.26,2.93,66.25,56.77,F
S2327,CS,55.39,65.9,54.11,91.24,84.97,9.34,99.8,74.11,C
S2328,CS,69.67,84.58,86.21,67.75,85.5,9.07,99.5,83.97,C
S2329,Engineering,86.7,70.09,41.18,66.93,88.17,1.56,61.76,58.86,A
S2330,Engineering,96.06,88.84,82.97,50.59,53.36,8.23,63.36,82.47,B
S2331,Engineering,62.58,84.71,46.12,99.39,70.64,7.03,87.48,91.28,B
S2332,Engineering,67.76,41.23,83.78,80.6,64.76,9.75,94.48,57.85,F
S2333,Engineering,,77.81,71.63,71.14,53.53,4.63,83.18,85.29,A
S2334,Business,84.54,66.19,66.24,54.83,70.63,7.22,93.24,53.41,A
S2335,Engineering,98.01,67.4,81.44,84.96,80.81,5.18,53.16,50.4,A
S2336,Business,82.05,89.1,42.18,64.14,58.92,0.69,82.03,51.63,A
S2337,CS,80.85,72.86,53.41,99.41,65.25,0.47,85.01,81.58,D
S2338,Engineering,77.67,93.14,76.99,97.53,81.96,1.22,59.52,98.67,C
S2339,Mathematics,54.42,82.77,90.83,86.76,78.97,2.96,88.9,88.57,D
S2340,CS,,73.17,62.87,98.55,93.44,2.59,97.21,62.72,C
S2341,Business,80.1,85.27,55.53,55.28,89.56,7.28,94.9,53.58,C
S2342,Business,83.07,42.3,71.12,,98.28,7.16,62.25,80.83,C
S2343,CS,94.94,41.63,77.34,62.66,79.86,9.71,66.2,50.16,A
S2344,Engineering,89.2,45,65.21,53.6,84.92,3.1,74.98,89.63,A
S2345,CS,89.05,66.25,92.6,98.61,93.03,9.38,57.92,62.16,A
S2346,Mathematics,,54.13,71.41,53,92,6.13,97.7,64.96,D
S2347,Business,99.5,99.06,42.15,92.83,85.94,4.95,58.08,67.2,A
S2348,CS,79.06,72.54,53.38,88.41,75.01,6.68,88.07,88.18,A
S2349,CS,55.44,79.74,67.04,68.79,63.66,7.03,67.07,63.29,D
S2350,Engineering,,56.73,81.86,50.94,93.86,1.72,78.69,64.22,B
S2351,CS,89.38,59.31,53.19,50.3,88.83,7.52,52.36,77.05,B
S2352,CS,51.39,60.13,98.58,60.2,91.9,7.25,60.25,73.15,C
S2353,Engineering,52.84,81.92,59.11,74.69,57.04,9.98,72.22,97.78,D
S2354,CS,53.36,68.42,71.95,72.9,65.74,9.12,83.86,63.17,F
S2355,CS,86.55,71.06,41.14,79.26,71.24,6.85,88.88,54.59,A
S2356,Business,,75.52,93.09,,91.92,7.12,51.51,77.05,C
S2357,Mathematics,68.44,86.13,87.33,68.87,94.64,9.46,57.62,59.23,C
S2358,Business,55.28,45.42,51.73,,64.24,9.67,86.49,70.68,D
S2359,Business,,86.61,95.99,90,84.32,8.27,90.65,59.36,A
S2360,CS,66.05,73.79,58.95,66.63,53.89,7.67,61.83,94.05,C
S2361,CS,63.27,80.15,81.53,64.34,70.48,1.11,61.48,66.37,B
S2362,CS,82.62,59.65,89.14,88.22,74.33,8.3,54.4,88.74,F
S2363,Business,77.95,64.56,84.45,96.71,88.28,2.53,57.51,97.43,A
S2364,Mathematics,68.12,53.87,95.05,95.75,94.6,5.64,50.4,97.03,B
S2365,Business,82.07,98.76,91.86,56.87,66.86,4.05,79.49,76.24,F
S2366,Business,,69.82,99.68,,76.39,3.46,95.19,99.16,F
S2367,Engineering,89.74,99.76,50.96,54.64,82.37,3.1,57.48,82.8,A
